Steplength,Stepwidth,Gaitspeed,Class
47.89,10.49,0.81,3
44.79,9.23,0.82,3
53.19,9.52,0.95,1
47.17,7.42,0.73,1
55.94,10.48,1.29,1
66.5,8.45,1.33,1
53.19,6.92,0.97,3
50.53,7.44,0.91,1
54.71,6.4,0.45,1
65.08,12.34,1.21,1
59.31,8.56,0.7,3
49.22,8.63,0.73,3
69.91,9.64,1.27,3
51.12,10.8,1,1
51.75,10.24,0.76,3
69.83,13.44,1.2,1
57.36,12.76,0.93,1
54.25,3.44,1,1
53.88,10.49,1.01,1
73.9,17.48,1.49,1
47.32,11.19,0.5,3
67.67,7.11,1.38,1
57.79,9.95,1.01,1
46.56,7.33,0.82,1
59.07,12.09,1.04,3
54.75,6.32,1.02,1
64.08,10.41,1.23,1
61.69,13.54,0.93,3
50.5,11.77,0.73,3
60.29,7.3,0.7,1
58.79,10.14,1.07,1
55.06,6.92,0.8,3
59.79,9,0.86,1
71,12.38,0.93,3
42.1,10.49,0.9,3
52.19,6.64,1.01,3
53.63,7.37,0.86,1
56.07,17,0.91,1
53.21,4.77,1.09,1
54.43,8.76,0.68,1
57.33,10.92,0.88,3
55.2,7.56,1.11,1
50.41,8.53,0.81,1
65.33,12.53,1.26,1
55.31,12.64,0.91,3
46.16,5.25,0.58,3
67.8,17.7,0.79,3
67.5,10.61,1.42,1
62.08,12.12,1.12,3
63.08,11.62,1.15,1
69,9.95,1.21,1
49.94,9.08,1.12,1
58.27,11.73,1.03,1
49.76,10.5,0.79,3
59.86,8.79,0.88,1
42.83,13.66,0.52,3
49.47,21.61,0.75,3
64.46,9.78,1.18,3
53.87,10.71,0.86,1
65.58,11.21,1.19,1
67.08,14.06,1.17,1
59.43,9.31,0.55,1
53.44,13.48,0.56,1
54,11.74,0.99,1
54.19,10.49,1.01,1
56.93,9.6,1.15,3
56.93,13.24,0.73,3
61.69,11.41,1.14,3
36.77,17.24,0.45,3
44.74,12.98,0.64,3
34.44,13.74,0.52,3
51.29,8.59,0.76,1
47.53,7.14,0.87,3
49.29,14.23,0.52,1
91.44,10.77,1.57,3
77.2,7.69,1.49,1
65.38,7.2,1.3,1
67.17,8.88,1,1
50.81,5.93,0.96,1
59.57,12.59,1.12,1
68.62,8.82,1.05,1
53.8,7.15,1.12,1
40.8,8.66,0.49,3
65.25,9.38,1.19,1
49.61,18.64,0.77,1
69.25,13.23,1.16,1
63.86,10.26,1.15,3
51.94,9.51,1.02,3
55.86,9.67,0.72,1
55.25,8.79,0.75,1
55.67,9.95,0.56,1
57.6,10.71,0.77,3
46.78,8.53,0.51,3
52.35,7.85,0.86,3
62.07,10.07,1.05,3
53.29,14.43,1.06,3
58.53,10.83,1,3
67.5,13.29,1.19,3
63.14,5.42,1.15,3
41.9,10.7,0.66,1
50.94,14.73,0.75,1
55.87,7.9,1.05,1
58.29,13.27,0.92,3
49.47,7.85,0.35,1
41.75,10.51,0.67,3
64.62,9.79,1.28,1
49.81,6.14,0.98,3
55.87,10.26,0.56,3
46.63,12.59,0.29,1
56.5,6.16,1.03,1
58.71,11.62,0.98,3
66.91,4.95,0.79,1
50.65,10.11,0.95,3
34.35,16.57,0.54,3
60.29,10.48,1.18,1
62,7.96,1.11,3
61.23,9.38,1.09,1
47.06,12.07,0.77,1
59.57,14.71,0.87,1
51,9.93,0.92,1
60.57,7.94,1.06,1
52.63,9.56,1.02,3
42.19,14.91,0.7,3
67.17,8.6,1.17,1
58.93,9.33,0.98,1
59,13.39,1.05,3
57.5,9.99,1.16,3
55.5,12.87,0.6,1
55.82,9.49,0.99,1
55.06,9.44,0.94,3
55.93,11.67,0.97,1
57.43,16.91,0.94,1
35.37,12.96,0.55,3
63.14,12.13,1.14,3
54.19,16.35,0.87,3
62.07,15.19,1.01,3
63.93,7.74,0.88,1
57.23,11.24,1.15,1
61.93,10.85,0.95,1
56.4,6.67,1.04,3
54.06,12.49,1,3
41.32,13.07,0.75,1
48.11,7.59,0.88,3
58.93,12.59,0.95,3
58.3,8.99,1.38,1
64.46,9.32,1.39,1
45.9,9.23,0.8,3
67,9.83,1.2,1
46.89,10.12,0.83,1
54.47,11.11,0.98,1
71.45,13.45,1.13,1
61.38,5.13,1.25,1
65.62,17.65,1.24,1
57.14,14.43,0.95,3
50.69,9.96,0.74,1
56.27,10.69,1.13,1
66.5,10.1,1.37,1
63.38,16.56,0.43,3
60.93,13.26,0.91,3
67.67,7.62,1.06,1
56.93,15.28,1.04,3
60.93,9.99,1.05,1
52.41,7.66,0.89,3
45.53,7.3,0.69,3
73.18,11.11,1.16,3
45.16,16.86,0.89,3
49.5,9.09,0.88,3
56.53,6.74,1.05,3
52.8,5.27,0.95,1
49.18,14.41,0.63,1
50.22,9.6,0.79,3
